StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,agree,PID_general,strong_weak,ind_lean,ideology_selfreport,PID_strengthR_1,PID_strengthR_2,PID_strengthR_3,PID_strengthR_4,maga,sc1_D,sc2_D,sc3_D,PID_strengthD_1,PID_strengthD_2,PID_strengthD_3,PID_strengthD_4,sc1_R,sc2_R,sc3_R,ft_dem_pre_1,ft_rep_pre_1,attn1,emotion_table_1,emotion_table_2,emotion_table_3,emotion_table_4,emotion_table_5,emotion_table_6,emotion_table_7,emotion_table_8,emotion_table_9,angry,shame,guilt,disgust,fear,anxiety,sadness,happiness,md_D1,md_D2,md_D3,ft_dem_post_1,ft_rep_post_1,spv_Rprotest_1,metaSPV_Rprotest_1,spv_Rvandalize_1,metaSPV_Rvandalize_1,spv_Rmessage_1,metaSPV_Rmessage_1,spv_Rassault_1,metaSPV_Rassault_1,spv_Rjustify_1,metaSPV_Rjustify_1,spv_Rpredict_1,metaSPV_Rpredict_1,md_R1,md_R2,md_R3,spv_Dprotest_1,metaSPV_Dprotest_1,spv_Dvandalize_1,metaSPV_Dvandalize_1,spv_Dmessage_1,metaSPV_Dmessage_1,spv_Dassault_1,metaSPV_Dassault_1,spv_Djustify_1,metaSPV_Djustify_1,spv_Dpredict_1,metaSPV_Dpredict_1,SC0,PROLIFIC_PID,SESSION_ID,STUDY_ID,condition,PID,Submission id,Participant id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Gender,Deception,U.s. political affiliation,2020 us presidential election,2024 us presidential election,Ethnicity,Household income (usd) [us participants only],Social-media,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: Bots,party_numeric,party_scale,party_bin,party_category,PID_dummy,maga_category,ideology,condition_dummy,exp_group_numeric,exp_group_category,speaker_match,exp_group,exp_group_labels,ft_rep_pre,ft_dem_pre,ft_rep_post,ft_dem_post,spv_Rprotest,spv_Rvandalize,spv_Rmessage,spv_Rassault,spv_Rjustify,spv_Rpredict,spv_Dprotest,spv_Dvandalize,spv_Dmessage,spv_Dassault,spv_Djustify,spv_Dpredict,metaSPV_Rprotest,metaSPV_Rvandalize,metaSPV_Rmessage,metaSPV_Rassault,metaSPV_Rjustify,metaSPV_Rpredict,metaSPV_Dprotest,metaSPV_Dvandalize,metaSPV_Dmessage,metaSPV_Dassault,metaSPV_Djustify,metaSPV_Dpredict,PID_strength,PID_bin_category,PID_bin,social_closeness,angry_dummy,shame_dummy,guilt_dummy,disgust_dummy,fear_dummy,anxiety_dummy,sadness_dummy,happiness_dummy,none_dummy,ft_pre_in,ft_post_in,ft_pre_out,ft_post_out,ft_diff_R,ft_diff_D,ft_diff_diff_PID,ft_diff_in,ft_diff_out,ft_diff_diff_inout,moral_disengagement_outgroup,SPV_individual,SPV_meta_R,SPV_meta_outgroup,SPV_meta_ingroup,SPV_indiv_scenario,SPV_indiv_broad,SPV_meta_scenario,SPV_meta_broad,SPV_indiv_protest,SPV_indiv_vandalize,SPV_indiv_message,SPV_indiv_assault,SPV_indiv_justify,SPV_indiv_predict,SPV_meta_protest,SPV_meta_vandalize,SPV_meta_message,SPV_meta_assault,SPV_meta_justify,SPV_meta_predict
NA,NA,0,NA,100,253,1,NA,NA,NA,NA,NA,NA,42.5917,-88.4334,NA,NA,0.899999976158142,1,1,2,NA,2,NA,NA,NA,NA,0,NA,NA,NA,2,3,2,2,2,3,2,61,20,2,NA,1,NA,1,NA,NA,1,NA,NA,NA,3,NA,4,NA,NA,4,NA,NA,NA,NA,62,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,19,19,19,38,14,43,14,35,14,35,26,50,0,NA,NA,NA,treatment,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,16795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Strong D,1,Democrat,0,Non-MAGA,Somewhat liberal,1,4,Treatment D,0,1,Mismatch,20,61,18,62,NA,NA,NA,NA,NA,NA,19,19,14,14,14,26,NA,NA,NA,NA,NA,NA,19,38,43,35,35,50,2.25,medium,1,2.3333333333333335,0,1,0,1,0,0,1,0,0,61,62,20,18,-2,1,-3,1,-2,3,3.6666666666666665,17.666666666666668,36.666666666666664,36.666666666666664,NA,16.5,20,33.75,42.5,19,19,14,14,14,26,19,38,43,35,35,50
NA,NA,0,NA,100,311,1,NA,NA,NA,NA,NA,NA,48.5274,-122.2329,NA,NA,1,1,1,2,NA,3,NA,NA,NA,NA,0,NA,NA,NA,4,5,4,5,3,3,2,85,5,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,85,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,0,60,0,40,0,0,0,0,0,0,0,0,0,NA,NA,NA,control,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,326,NA,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Strong D,1,Democrat,0,Non-MAGA,Slightly liberal,0,2,Control D,0,0,Control,5,85,5,85,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,60,40,0,0,0,0,4.5,strong,2,2.6666666666666665,0,0,0,0,0,0,0,1,0,85,85,5,5,0,0,0,0,0,0,4.333333333333333,0,16.666666666666668,16.666666666666668,NA,0,0,25,0,0,0,0,0,0,0,60,40,0,0,0,0
NA,NA,0,NA,100,233,1,NA,NA,NA,NA,NA,NA,6.2977,-10.7998,NA,NA,1,1,3,NA,1,2,NA,NA,NA,NA,0,NA,NA,NA,1,1,1,1,2,2,2,30,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,60,70,20,60,0,15,0,10,0,20,0,10,0,NA,NA,NA,control,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,4842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Lean D,0,Independent,0,Non-MAGA,Somewhat liberal,0,2,Control D,0,0,Control,0,30,0,30,NA,NA,NA,NA,NA,NA,60,20,0,0,0,0,NA,NA,NA,NA,NA,NA,70,60,15,10,20,10,1,weak,0,2,0,0,0,0,0,0,0,0,1,30,30,0,0,0,0,0,0,0,0,9,13.333333333333334,30.833333333333332,30.833333333333332,NA,20,0,38.75,15,60,20,0,0,0,0,70,60,15,10,20,10
NA,NA,0,NA,100,346,1,NA,NA,NA,NA,NA,NA,39.2689,-84.2638,NA,NA,0.899999976158142,1,2,1,NA,4,1,2,1,2,0,4,4,4,NA,NA,NA,NA,NA,NA,NA,75,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,75,5,0,55,0,75,0,10,0,7,0,4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,control,Republican,NA,NA,NA,NA,NA,NA,NA,NA,355,NA,1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Weak R,2,Republican,1,Non-MAGA,Moderate,0,1,Control R,0,0,Control,5,75,5,75,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,55,75,10,7,4,3,NA,NA,NA,NA,NA,NA,1.5,weak,1,4,0,0,0,0,0,0,0,0,1,5,5,75,75,0,0,0,0,0,0,1,0,25.666666666666668,NA,25.666666666666668,0,0,36.75,3.5,0,0,0,0,0,0,55,75,10,7,4,3
NA,NA,0,NA,100,318,1,NA,NA,NA,NA,NA,NA,38.913,-121.0846,NA,NA,1,1,2,2,NA,6,4,4,5,5,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,0,95,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,0,95,100,100,10,10,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,treatment,Republican,NA,NA,NA,NA,NA,NA,NA,NA,330,NA,4359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Strong R,2,Republican,1,MAGA,Somewhat conservative,1,3,Treatment R,1,2,Match,95,0,95,0,100,10,0,0,0,0,NA,NA,NA,NA,NA,NA,100,10,0,0,0,0,NA,NA,NA,NA,NA,NA,4.5,strong,2,2.6666666666666665,0,0,0,0,0,0,0,1,0,95,95,0,0,0,0,0,0,0,0,3.6666666666666665,18.333333333333332,18.333333333333332,NA,18.333333333333332,27.5,0,27.5,0,100,10,0,0,0,0,100,10,0,0,0,0
NA,NA,0,NA,100,237,1,NA,NA,NA,NA,NA,NA,34.1453,-117.3005,NA,NA,1,1,1,1,NA,2,NA,NA,NA,NA,0,NA,NA,NA,3,3,3,3,3,4,3,78,13,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,78,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,73,95,11,28,3,63,6,71,6,64,20,68,0,NA,NA,NA,control,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,247,NA,17521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Weak D,1,Democrat,0,Non-MAGA,Somewhat liberal,0,2,Control D,0,0,Control,13,78,14,78,NA,NA,NA,NA,NA,NA,73,11,3,6,6,20,NA,NA,NA,NA,NA,NA,95,28,63,71,64,68,3,strong,2,3.3333333333333335,0,0,0,0,0,1,0,0,0,78,78,13,14,1,0,1,0,1,-1,2.6666666666666665,19.833333333333332,64.83333333333333,64.83333333333333,NA,23.25,13,64.25,66,73,11,3,6,6,20,95,28,63,71,64,68
NA,NA,0,NA,100,362,1,NA,NA,NA,NA,NA,NA,39.5214,-85.7769,NA,NA,1,1,1,2,NA,1,NA,NA,NA,NA,0,NA,NA,NA,3,4,3,3,4,4,4,76,68,2,1,NA,NA,1,1,1,1,NA,NA,4,NA,NA,4,3,4,4,NA,NA,NA,NA,82,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,39,80,24,60,3,50,0,40,0,37,1,63,0,NA,NA,NA,treatment,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,368,NA,2514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Strong D,1,Democrat,0,Non-MAGA,Very liberal,1,4,Treatment D,0,1,Mismatch,68,76,66,82,NA,NA,NA,NA,NA,NA,39,24,3,0,0,1,NA,NA,NA,NA,NA,NA,80,60,50,40,37,63,3.25,strong,2,4,1,0,0,1,1,1,1,0,0,76,82,68,66,-2,6,-8,6,-2,8,2,11.166666666666666,55,55,NA,16.5,0.5,57.5,50,39,24,3,0,0,1,80,60,50,40,37,63
NA,NA,0,NA,100,367,1,NA,NA,NA,NA,NA,NA,41.3219,-73.0816,NA,NA,1,1,2,1,NA,6,3,3,3,4,0,3,3,3,NA,NA,NA,NA,NA,NA,NA,43,61,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,NA,2,2,2,47,61,24,34,35,39,25,45,40,64,5,18,16,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,control,Republican,NA,NA,NA,NA,NA,NA,NA,NA,373,NA,20419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Weak R,2,Republican,1,Non-MAGA,Somewhat conservative,0,1,Control R,0,0,Control,61,43,61,47,24,35,25,40,5,16,NA,NA,NA,NA,NA,NA,34,39,45,64,18,32,NA,NA,NA,NA,NA,NA,3.25,strong,2,3,0,0,0,0,0,1,1,0,0,61,61,43,47,0,4,-4,0,4,-4,2,24.166666666666668,38.666666666666664,NA,38.666666666666664,31,10.5,45.5,25,24,35,25,40,5,16,34,39,45,64,18,32
NA,NA,0,NA,100,253,1,NA,NA,NA,NA,NA,NA,32.3974,-93.8052,NA,NA,1,1,2,2,NA,6,3,3,3,4,1,4,4,3,NA,NA,NA,NA,NA,NA,NA,0,80,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,3,1,0,80,20,60,0,9,0,5,0,5,0,10,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,treatment,Republican,NA,NA,NA,NA,NA,NA,NA,NA,262,NA,16029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Strong R,2,Republican,1,MAGA,Somewhat conservative,1,3,Treatment R,1,2,Match,80,0,80,0,20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,60,9,5,5,10,10,NA,NA,NA,NA,NA,NA,3.25,strong,2,3.6666666666666665,0,0,0,1,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,3,3.3333333333333335,16.5,NA,16.5,5,0,19.75,10,20,0,0,0,0,0,60,9,5,5,10,10
NA,NA,0,NA,100,337,1,NA,NA,NA,NA,NA,NA,30.3314,-97.8666,NA,NA,1,1,2,1,NA,6,2,3,3,3,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,10,80,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,1,10,80,0,10,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,control,Republican,NA,NA,NA,NA,NA,NA,NA,NA,348,NA,5091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Weak R,2,Republican,1,MAGA,Somewhat conservative,0,1,Control R,0,0,Control,80,10,80,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,10,0,0,0,0,10,NA,NA,NA,NA,NA,NA,2.75,medium,1,3.3333333333333335,0,0,0,0,0,0,0,1,0,80,80,10,10,0,0,0,0,0,0,3,0,3.3333333333333335,NA,3.3333333333333335,0,0,2.5,5,0,0,0,0,0,0,10,0,0,0,0,10
