Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Deception,Gender,Ethnicity,Highest education level completed,Household income (usd) [us participants only],2020 us presidential election,2024 us presidential election,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691b761b7670cf04035a7f82,62d59a066ee263bb659aa445,APPROVED,Not Applicable,2025-11-17T19:23:10.836000Z,2025-11-17T19:28:24.510000Z,2025-11-17T20:10:43.360000Z,2025-11-17T19:28:24.901980Z,314.0,C16GZ4K4,13222,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$30000–$39999,Donald Trump,Donald Trump,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b761f909679c3a69ce778,60fe0b73bbb479e45039b320,APPROVED,Not Applicable,2025-11-17T19:23:16.609000Z,2025-11-17T19:29:08.108000Z,2025-11-17T20:10:43.683000Z,2025-11-17T19:29:08.476584Z,352.0,C16GZ4K4,7424,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,High school diploma/A-levels,$40000–$49999,Donald Trump,Donald Trump,42,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
691b76215959f2b86d76266a,67dd40b531ab9c33ff61e98e,APPROVED,Not Applicable,2025-11-17T19:23:13.120000Z,2025-11-17T19:29:19.111000Z,2025-11-17T20:10:43.973000Z,2025-11-17T19:29:19.537420Z,366.0,C16GZ4K4,1631,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Latino/Hispanic,Undergraduate degree (BA/BSc/other),$90000–$99999,Rather not say or N/A,Donald Trump,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b76229728181ea7d2b8b3,608bfa04767191aa4d57bfd8,APPROVED,Not Applicable,2025-11-17T19:23:14.387000Z,2025-11-17T19:35:26.399000Z,2025-11-17T20:10:44.273000Z,2025-11-17T19:35:26.770317Z,733.0,C16GZ4K4,15656,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$50000–$59999,Donald Trump,Donald Trump,42,Female,White,United States,United States,United States,English,No,Full-Time
691b76281d3639c4e561b89e,6764cce7a10cc8e279651a57,APPROVED,Not Applicable,2025-11-17T19:23:51.335000Z,2025-11-17T19:38:02.579000Z,2025-11-17T20:10:44.619000Z,2025-11-17T19:38:02.937351Z,852.0,C16GZ4K4,4606,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$100000–$149999,Donald Trump,Donald Trump,31,Male,White,United States,United States,United States,English,Yes,Full-Time
691b763548f95077e9a319ae,617323e630f3fa36361cb35b,APPROVED,Not Applicable,2025-11-17T19:23:41.057000Z,2025-11-17T19:28:31.463000Z,2025-11-17T20:10:45.003000Z,2025-11-17T19:28:31.852662Z,291.0,C16GZ4K4,5806,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$70000–$79999,Donald Trump,Donald Trump,55,Female,White,United States,United States,United States,English,No,Full-Time
691b763c7464d777f6bd6548,5ff07b5ee7a1d23e719e421e,APPROVED,Not Applicable,2025-11-17T19:23:44.039000Z,2025-11-17T19:28:43.723000Z,2025-11-17T20:10:45.467000Z,2025-11-17T19:28:44.157609Z,300.0,C16GZ4K4,11228,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$40000–$49999,Donald Trump,Donald Trump,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b76465d649c787f91a19b,59f226a9d6380600018b2923,APPROVED,Not Applicable,2025-11-17T19:23:54.449000Z,2025-11-17T19:35:49.636000Z,2025-11-17T20:10:45.884000Z,2025-11-17T19:35:50.007621Z,716.0,C16GZ4K4,14142,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$20000–$29999,Donald Trump,Donald Trump,61,Female,White,United States,United States,United States,English,No,Full-Time
691b76496f07aef93e727824,622a11c552b2b35bab72a39c,APPROVED,Not Applicable,2025-11-17T19:27:50.746000Z,2025-11-17T19:35:17.593000Z,2025-11-17T20:10:46.260000Z,2025-11-17T19:35:17.982477Z,447.0,C16GZ4K4,4936,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Technical/community college,$20000–$29999,Donald Trump,Donald Trump,65,Male,White,United States,United States,United States,English,No,Part-Time
691b764ee0d08f9dd446f143,646ae503018c43cc5e033ae6,APPROVED,Not Applicable,2025-11-17T19:24:01.302000Z,2025-11-17T19:35:56.133000Z,2025-11-17T20:10:46.651000Z,2025-11-17T19:35:56.551157Z,715.0,C16GZ4K4,5075,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),Less than $10000,Donald Trump,Donald Trump,37,Male,White,United States,United States,United States,English,No,Part-Time
691b765118f4e0a33da7de4c,60fb534aa3d839c152fa8f36,APPROVED,Not Applicable,2025-11-17T19:24:04.689000Z,2025-11-17T19:34:39.995000Z,2025-11-17T20:10:46.913000Z,2025-11-17T19:34:40.402944Z,636.0,C16GZ4K4,10211,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),More than $150000,Joe Biden,Kamala Harris,55,Male,White,United States,United States,United States,English,No,Full-Time
691b765425f9aa7a3a3842fe,62fbeca46caf4abaaf74b5f1,APPROVED,Not Applicable,2025-11-17T19:24:08.173000Z,2025-11-17T19:27:48.755000Z,2025-11-17T20:10:48.645000Z,2025-11-17T19:27:50.004999Z,221.0,C16GZ4K4,8718,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Technical/community college,$40000–$49999,Donald Trump,Donald Trump,66,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b76549325795b271d0612,5dd2f94a238a913096c52317,APPROVED,Not Applicable,2025-11-17T19:24:09.520000Z,2025-11-17T19:31:44.261000Z,2025-11-17T20:10:49.049000Z,2025-11-17T19:31:44.650931Z,455.0,C16GZ4K4,12715,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$30000–$39999,Donald Trump,Donald Trump,43,Female,White,United States,United States,United States,English,No,Full-Time
691b7656500c23ffd2cff369,62b628e4351d179f1ff6cc59,APPROVED,Not Applicable,2025-11-17T19:24:10.623000Z,2025-11-17T19:34:24.780000Z,2025-11-17T20:10:49.501000Z,2025-11-17T19:34:25.202990Z,615.0,C16GZ4K4,4572,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Mixed,Doctorate degree (PhD/other),$100000–$149999,I did not vote,I did not vote,27,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
691b765dfb16e4b0755df6e0,66294001494b75def82c92c7,APPROVED,Not Applicable,2025-11-17T19:25:00.748000Z,2025-11-17T19:34:01.555000Z,2025-11-17T20:10:49.931000Z,2025-11-17T19:34:01.950693Z,541.0,C16GZ4K4,1419,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$50000–$59999,Donald Trump,Donald Trump,43,Female,White,United States,United States,United States,English,No,Full-Time
691b7671a75ce0406e74b6bc,614becce61f2753af92727bb,APPROVED,Not Applicable,2025-11-17T19:24:37.895000Z,2025-11-17T19:29:18.377000Z,2025-11-17T20:10:50.266000Z,2025-11-17T19:29:18.798502Z,281.0,C16GZ4K4,5510,"English, Spanish",Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Latino/Hispanic,Technical/community college,$50000–$59999,Donald Trump,Donald Trump,43,Male,Other,United States,United States,United States,English,No,Full-Time
691b7687d82a679c969a1bab,673feeafa80a279f5cc63e33,APPROVED,Not Applicable,2025-11-17T19:27:53.770000Z,2025-11-17T19:40:05.315000Z,2025-11-17T20:10:50.559000Z,2025-11-17T19:40:05.689341Z,732.0,C16GZ4K4,5136,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$50000–$59999,Donald Trump,Donald Trump,62,Female,White,United States,United States,United States,English,No,Full-Time
