Submission id,Fluent languages,U.s. political affiliation,Deception,Gender,Ethnicity,Highest education level completed,Household income (usd) [us participants only],2020 us presidential election,2024 us presidential election,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691b761b7670cf04035a7f82,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$30000–$39999,Donald Trump,Donald Trump,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b761f909679c3a69ce778,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,High school diploma/A-levels,$40000–$49999,Donald Trump,Donald Trump,42,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
691b76215959f2b86d76266a,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Latino/Hispanic,Undergraduate degree (BA/BSc/other),$90000–$99999,Rather not say or N/A,Donald Trump,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b76229728181ea7d2b8b3,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$50000–$59999,Donald Trump,Donald Trump,42,Female,White,United States,United States,United States,English,No,Full-Time
691b76281d3639c4e561b89e,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$100000–$149999,Donald Trump,Donald Trump,31,Male,White,United States,United States,United States,English,Yes,Full-Time
691b763548f95077e9a319ae,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$70000–$79999,Donald Trump,Donald Trump,55,Female,White,United States,United States,United States,English,No,Full-Time
691b763c7464d777f6bd6548,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$40000–$49999,Donald Trump,Donald Trump,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b76465d649c787f91a19b,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$20000–$29999,Donald Trump,Donald Trump,61,Female,White,United States,United States,United States,English,No,Full-Time
691b76496f07aef93e727824,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Technical/community college,$20000–$29999,Donald Trump,Donald Trump,65,Male,White,United States,United States,United States,English,No,Part-Time
691b764ee0d08f9dd446f143,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),Less than $10000,Donald Trump,Donald Trump,37,Male,White,United States,United States,United States,English,No,Part-Time
691b765118f4e0a33da7de4c,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),More than $150000,Joe Biden,Kamala Harris,55,Male,White,United States,United States,United States,English,No,Full-Time
691b765425f9aa7a3a3842fe,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Technical/community college,$40000–$49999,Donald Trump,Donald Trump,66,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b76549325795b271d0612,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$30000–$39999,Donald Trump,Donald Trump,43,Female,White,United States,United States,United States,English,No,Full-Time
691b7656500c23ffd2cff369,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Mixed,Doctorate degree (PhD/other),$100000–$149999,I did not vote,I did not vote,27,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
691b765dfb16e4b0755df6e0,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$50000–$59999,Donald Trump,Donald Trump,43,Female,White,United States,United States,United States,English,No,Full-Time
691b7671a75ce0406e74b6bc,"English, Spanish",Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Latino/Hispanic,Technical/community college,$50000–$59999,Donald Trump,Donald Trump,43,Male,Other,United States,United States,United States,English,No,Full-Time
691b7687d82a679c969a1bab,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$50000–$59999,Donald Trump,Donald Trump,62,Female,White,United States,United States,United States,English,No,Full-Time
691b7690792493aa23f21b60,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),More than $150000,Donald Trump,Donald Trump,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b76aebf4b1cc270a37459,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$20000–$29999,Donald Trump,Donald Trump,36,Male,White,United States,United States,United States,English,No,Full-Time
691b76bb180d96d83ae73e06,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Secondary education (e.g. GED/GCSE),$16000–$19999,Donald Trump,Donald Trump,62,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b76c727a192d50762a45d,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$40000–$49999,Donald Trump,Donald Trump,53,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
